LONGEVITY_0-4_PREDICTION,LONGEVITY_4+_PREDICTION,LONGEVITY_8+_PREDICTION,LONGEVITY_PREDICTION,CLASS_1,CLASS_1_EXPLANATION_1_FEATURE_NAME,CLASS_1_EXPLANATION_1_STRENGTH,CLASS_1_EXPLANATION_1_ACTUAL_VALUE,CLASS_1_EXPLANATION_1_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_2_FEATURE_NAME,CLASS_1_EXPLANATION_2_STRENGTH,CLASS_1_EXPLANATION_2_ACTUAL_VALUE,CLASS_1_EXPLANATION_2_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_3_FEATURE_NAME,CLASS_1_EXPLANATION_3_STRENGTH,CLASS_1_EXPLANATION_3_ACTUAL_VALUE,CLASS_1_EXPLANATION_3_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_4_FEATURE_NAME,CLASS_1_EXPLANATION_4_STRENGTH,CLASS_1_EXPLANATION_4_ACTUAL_VALUE,CLASS_1_EXPLANATION_4_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_5_FEATURE_NAME,CLASS_1_EXPLANATION_5_STRENGTH,CLASS_1_EXPLANATION_5_ACTUAL_VALUE,CLASS_1_EXPLANATION_5_QUALITATIVE_STRENGTH,PLAYER AGE,TOTAL FIELD GOALS MADE,TOTAL FIELD GOALS ATTEMPTED,TOTAL 3 POINT MADE,TOTAL 3 POINT ATTEMPTED,TOTAL FREE THROWS MADE,TOTAL FREE THROWS ATTEMPTED,TOTAL OFFENSIVE REBOUND,TOTAL DEFENSIVE REBOUND,TOTAL REBOUND,TOTAL ASSISTS,TOTAL STEALS,TOTAL BLOCKS,TOTAL TURNOVERS,TOTAL PERSONAL FOULS,TOTAL POINTS,MINUTES PLAYED PERGAME,FIELD GOALS MADE PER GAME,FIELD GOALS ATTEMPTED PER GAME,3 POINT MADE PER GAME,3 POINT ATTEMPTED PER GAME,FREE THROWS MADE PER GAME,FREE THROWS ATTEMPTED PER GAME,OFFENSIVE REBOUND PER GAME,DEFENSIVE REBOUND PER GAME,REBOUND PER GAME,ASSISTS PER GAME,STEALS PER GAME,BLOCKS PER GAME,TURNOVERS PER GAME,PERSONAL FOULS PER GAME,POINTS PER GAME,TOTAL GAME PLAYED,TOTAL GAME STARTED,TOTAL MINUTES,FIELD GOALS MADE PER 36 MINUTES,FIELD GOALS ATTEMPTED PER 36 MINUTES,FIELD GOALS % PER 36 MINUTES,3 POINT MADE PER 36 MINUTES,3 POINT ATTEMPTED PER 36 MINUTES,3 POINT % PER 36 MINUTES,FREE THROWS MADE PER 36 MINUTES,FREE THROWS ATTEMPTED PER 36 MINUTES,FREE THROWS % PER 36 MINUTES,OFFENSIVE REBOUND PER 36 MINUTES,DEFENSIVE REBOUND PER 36 MINUTES,REBOUND PER 36 MINUTES,ASSISTS PER 36 MINUTES,STEALS PER 36 MINUTES,BLOCKS PER 36 MINUTES,TURNOVERS PER 36 MINUTES,PERSONAL FOULS PER 36 MINUTES,POINTS PER 36 MINUTES,LONGEVITY,LAST AND FIRST NAME
0.5004157473,0.377004107,0.1225801457,0-4,0-4,STEALS PER 36 MINUTES,0.118032381,0.9,++,FREE THROWS % PER 36 MINUTES,-0.0961422274,0.627,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0670925072,6.7,--,REBOUND PER 36 MINUTES,0.0630386977,11.8,++,3 POINT % PER 36 MINUTES,0.0310650846,0.397,+,19,270,440,23,58,131,209,132.0,234.0,366,50,27,29,75,60,694,33.9,8.2,13.3,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,33,32,1118,8.7,14.2,0.614,0.7,1.9,0.397,4.2,6.7,0.627,4.3,7.5,11.8,1.6,0.9,0.9,2.4,1.9,22.3,4+,"Bagley III, Marvin"
0.4359838566,0.3024843103,0.261531833,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1600397211,0.441,---,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0648522481,8.0,--,FREE THROWS % PER 36 MINUTES,-0.0445521932,0.8170000000000001,--,STEALS PER 36 MINUTES,-0.0437641666,2.1,--,REBOUND PER 36 MINUTES,-0.0386756049,3.7,--,21,180,371,45,102,179,219,15.0,87.0,102,110,58,20,104,68,584,32.0,5.8,12.0,1.5,3.3,5.8,7.1,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2,18.8,31,31,991,6.5,13.5,0.485,1.6,3.7,0.441,6.5,8.0,0.817,0.5,3.2,3.7,4.0,2.1,0.7,3.8,2.5,21.2,8+,"Teague, Jeff"
0.4516687889,0.3499182017,0.1984130093,0-4,0-4,STEALS PER 36 MINUTES,-0.0628746394,1.2,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0628560933,6.5,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0316999754,3.1,--,FREE THROWS % PER 36 MINUTES,-0.0220661962,0.758,--,3 POINT % PER 36 MINUTES,-0.0172875641,0.6,--,20,229,380,9,15,197,260,123.0,287.0,410,64,47,134,71,111,664,34.2,5.5,9.0,0.2,0.4,4.7,6.2,2.9,6.8,9.8,1.5,1.1,3.2,1.7,2.6,15.8,42,40,1436,5.7,9.5,0.603,0.2,0.4,0.6,4.9,6.5,0.758,3.1,7.2,10.3,1.6,1.2,3.4,1.8,2.8,16.6,0-4,Zhou Qi
0.4654534477,0.3802813473,0.154265205,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1064900435,0.444,--,STEALS PER 36 MINUTES,-0.0654806352,1.1,--,FREE THROWS % PER 36 MINUTES,-0.0631888412,0.853,--,FREE THROWS ATTEMPTED PER 36 MINUTES,0.0475224776,3.3,++,OFFENSIVE REBOUND PER 36 MINUTES,-0.0290018537,0.9,--,22,205,444,104,234,81,95,25.0,208.0,233,241,32,7,85,52,595,33.0,6.6,14.3,3.4,7.5,2.6,3.1,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7,19.2,31,30,1022,7.2,15.6,0.462,3.7,8.2,0.444,2.9,3.3,0.853,0.9,7.3,8.2,8.5,1.1,0.2,3.0,1.8,21.0,4+,"Valentine, Denzel"
0.4729960648,0.3044464247,0.2225575106,0-4,0-4,3 POINT % PER 36 MINUTES,-0.0638694956,nan,---,STEALS PER 36 MINUTES,-0.0487842516,1.0,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0464861568,2.9,--,FREE THROWS % PER 36 MINUTES,0.0140736045,0.6809999999999999,+,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0052245277,7.3,-,23,221,369,0,0,173,254,99.0,260.0,359,70,36,52,103,92,615,34.7,6.1,10.3,0.0,0.0,4.8,7.1,2.8,7.2,10.0,1.9,1.0,1.4,2.9,2.6,17.1,36,36,1248,6.4,10.6,0.599,0.0,0.0,,5.0,7.3,0.681,2.9,7.5,10.4,2.0,1.0,1.5,3.0,2.7,17.7,8+,"Plumlee, Mason"
0.3894276516,0.4004866196,0.2100857288,4+,4+,REBOUND PER 36 MINUTES,0.1841316879,12.1,+++,FREE THROWS % PER 36 MINUTES,0.1591305346,0.551,++,3 POINT % PER 36 MINUTES,0.0733271234,0.32799999999999996,++,STEALS PER 36 MINUTES,-0.0539063117,2.3,--,OFFENSIVE REBOUND PER 36 MINUTES,0.0263699819,3.2,+,21,132,275,19,58,54,98,92.0,255.0,347,44,67,41,74,78,337,33.4,4.3,8.9,0.6,1.9,1.7,3.2,3.0,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,31,30,1036,4.6,9.6,0.48,0.7,2.0,0.328,1.9,3.4,0.551,3.2,8.9,12.1,1.5,2.3,1.4,2.6,2.7,11.7,4+,"Roberson, Andre"
0.3977924396,0.3793095605,0.2228979999,0-4,0-4,3 POINT % PER 36 MINUTES,-0.2333662868,0.39299999999999996,---,STEALS PER 36 MINUTES,-0.1554141593,3.1,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0665048257,0.8,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0590974585,4.4,--,FREE THROWS % PER 36 MINUTES,-0.0582434333,0.858,--,22,215,509,77,196,133,155,29.0,143.0,172,246,112,13,98,111,640,34.6,5.8,13.8,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,37,37,1281,6.0,14.3,0.422,2.2,5.5,0.393,3.7,4.4,0.858,0.8,4.0,4.8,6.9,3.1,0.4,2.8,3.1,18.0,4+,"Carter, Jevon"
0.6017686732,0.2822346799,0.1159966469,0-4,0-4,OFFENSIVE REBOUND PER 36 MINUTES,0.3286942669,0.4,+++,3 POINT % PER 36 MINUTES,0.1570005295,0.355,++,REBOUND PER 36 MINUTES,0.1314029141,3.7,++,STEALS PER 36 MINUTES,0.0952586069,1.4,++,FREE THROWS % PER 36 MINUTES,0.0532959976,0.8370000000000001,+,21,277,703,135,380,185,221,14.0,116.0,130,104,48,10,113,73,874,35.4,7.7,19.5,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,36,36,1275,7.8,19.8,0.394,3.8,10.7,0.355,5.2,6.2,0.837,0.4,3.3,3.7,2.9,1.4,0.3,3.2,2.1,24.7,0-4,"Edwards, Carsen"
0.543933547,0.296884271,0.1591821821,0-4,0-4,3 POINT % PER 36 MINUTES,0.129657232,0.325,+++,OFFENSIVE REBOUND PER 36 MINUTES,0.0825553196,0.5,++,FREE THROWS % PER 36 MINUTES,0.0392004356,0.7140000000000001,++,REBOUND PER 36 MINUTES,0.0250299495,2.8,+,STEALS PER 36 MINUTES,0.0200625395,1.0,+,19,145,352,26,80,85,119,17.0,84.0,101,191,37,11,109,91,401,32.6,3.6,8.8,0.7,2.0,2.1,3.0,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,40,40,1303,4.0,9.7,0.412,0.7,2.2,0.325,2.3,3.3,0.714,0.5,2.3,2.8,5.3,1.0,0.3,3.0,2.5,11.1,4+,"Teague, Marquis"
0.5120088438,0.3723936389,0.1155975174,0-4,0-4,STEALS PER 36 MINUTES,0.1685806128,0.8,+++,REBOUND PER 36 MINUTES,0.0612663852,11.6,++,FREE THROWS % PER 36 MINUTES,-0.0544305166,0.61,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0371262046,6.6,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0103878551,3.4,-,22,184,316,0,0,128,210,107.0,262.0,369,32,24,170,71,88,496,31.7,5.1,8.8,0.0,0.0,3.6,5.8,3.0,7.3,10.3,0.9,0.7,4.7,2.0,2.4,13.8,36,36,1141,5.8,10.0,0.582,0.0,0.0,,4.0,6.6,0.61,3.4,8.3,11.6,1.0,0.8,5.4,2.2,2.8,15.6,0-4,"Varnado, Jarvis"
0.4783586081,0.2985971854,0.2230442065,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1091638085,0.2,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.1069558779,3.0,--,STEALS PER 36 MINUTES,0.0981678835,0.9,++,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0979616951,6.1,--,REBOUND PER 36 MINUTES,-0.040885635,9.1,-,22,136,249,2,10,89,129,63.0,129.0,192,46,19,39,70,82,363,29.2,5.2,9.6,0.1,0.4,3.4,5.0,2.4,5.0,7.4,1.8,0.7,1.5,2.7,3.2,14.0,26,22,760,6.4,11.8,0.546,0.1,0.5,0.2,4.2,6.1,0.69,3.0,6.1,9.1,2.2,0.9,1.8,3.3,3.9,17.2,8+,"Green, JaMychal"
0.4782560812,0.3533078755,0.1684360433,0-4,0-4,REBOUND PER 36 MINUTES,0.1134268651,5.3,++,STEALS PER 36 MINUTES,-0.1132139931,1.8,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.098552713,1.5,--,3 POINT % PER 36 MINUTES,0.0697875569,0.361,++,FREE THROWS % PER 36 MINUTES,0.0182983611,0.78,+,19,122,288,30,83,85,109,39.0,98.0,137,78,46,13,49,73,359,30.9,4.1,9.6,1.0,2.8,2.8,3.6,1.3,3.3,4.6,2.6,1.5,0.4,1.6,2.4,12.0,30,30,928,4.7,11.2,0.424,1.2,3.2,0.361,3.3,4.2,0.78,1.5,3.8,5.3,3.0,1.8,0.5,1.9,2.8,13.9,0-4,"Green, Josh"
0.4547413438,0.3769025989,0.1683560573,0-4,0-4,REBOUND PER 36 MINUTES,-0.1799189737,12.3,---,FREE THROWS % PER 36 MINUTES,-0.1192950939,0.588,--,STEALS PER 36 MINUTES,0.0919438728,0.8,++,3 POINT % PER 36 MINUTES,0.0350174464,0.6,+,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0336037026,7.6,-,21,167,319,3,5,110,187,92.0,211.0,303,10,19,182,64,82,447,26.1,4.9,9.4,0.1,0.1,3.2,5.5,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,34,23,889,6.8,12.9,0.524,0.1,0.2,0.6,4.5,7.6,0.588,3.7,8.5,12.3,0.4,0.8,7.4,2.6,3.3,18.1,8+,"Whiteside, Hassan"
0.4338299549,0.298253548,0.2679164971,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1573594071,0.462,---,FREE THROWS % PER 36 MINUTES,-0.0825394297,0.9009999999999999,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0723060815,8.4,--,STEALS PER 36 MINUTES,-0.0597082793,1.9,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0241844735,0.7,-,19,55,104,18,39,64,71,6.0,31.0,37,47,16,6,27,23,192,27.5,5.0,9.5,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,11,8,303,6.5,12.4,0.529,2.1,4.6,0.462,7.6,8.4,0.901,0.7,3.7,4.4,5.6,1.9,0.7,3.2,2.7,22.8,8+,"Irving, Kyrie"
0.4162208106,0.4394208124,0.144358377,4+,4+,3 POINT % PER 36 MINUTES,0.3136235796,0.395,++,OFFENSIVE REBOUND PER 36 MINUTES,0.2243052192,0.9,++,REBOUND PER 36 MINUTES,0.1735759353,3.6,++,STEALS PER 36 MINUTES,0.1158962587,0.8,++,FREE THROWS ATTEMPTED PER 36 MINUTES,0.10071218,4.1,++,19,133,281,51,129,77,102,23.0,67.0,90,61,20,2,49,85,394,24.9,3.7,7.8,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,36,36,896,5.3,11.3,0.473,2.0,5.2,0.395,3.1,4.1,0.755,0.9,2.7,3.6,2.5,0.8,0.1,2.0,3.4,15.8,4+,"Jackson, Frank"
0.4593744518,0.347049112,0.1935764363,0-4,0-4,STEALS PER 36 MINUTES,-0.0651354308,1.1,---,OFFENSIVE REBOUND PER 36 MINUTES,-0.0440848012,1.7,--,3 POINT % PER 36 MINUTES,-0.029010747,0.41700000000000004,--,FREE THROWS % PER 36 MINUTES,0.0172636235,0.7390000000000001,++,REBOUND PER 36 MINUTES,0.015458636,7.7,++,21,275,465,15,36,164,222,52.0,188.0,240,56,35,27,68,74,729,30.2,7.4,12.6,0.4,1.0,4.4,6.0,1.4,5.1,6.5,1.5,0.9,0.7,1.8,2.0,19.7,37,37,1117,8.9,15.0,0.591,0.5,1.2,0.417,5.3,7.2,0.739,1.7,6.1,7.7,1.8,1.1,0.9,2.2,2.4,23.5,0-4,"Hachimura, Rui"
0.4576598961,0.3933268973,0.1490132065,0-4,0-4,STEALS PER 36 MINUTES,0.1284627553,0.5,++,FREE THROWS % PER 36 MINUTES,-0.1017288633,0.597,--,3 POINT % PER 36 MINUTES,-0.0983930316,0.0,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0730400126,5.4,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0605371581,3.3,--,23,190,376,0,1,111,186,115.0,243.0,358,60,19,42,65,72,491,34.6,5.3,10.4,0.0,0.0,3.1,5.2,3.2,6.8,9.9,1.7,0.5,1.2,1.8,2.0,13.6,36,36,1245,5.5,10.9,0.505,0.0,0.0,0.0,3.2,5.4,0.597,3.3,7.0,10.4,1.7,0.5,1.2,1.9,2.1,14.2,4+,"Adrien, Jeff"
0.4227428665,0.4002525882,0.1770045454,0-4,0-4,OFFENSIVE REBOUND PER 36 MINUTES,-0.1104559578,3.2,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.1034973753,5.6,--,FREE THROWS % PER 36 MINUTES,-0.0990760769,0.627,--,REBOUND PER 36 MINUTES,-0.056680699,8.1,--,STEALS PER 36 MINUTES,-0.0513812682,1.0,--,22,176,398,27,74,101,161,91.0,140.0,231,41,29,21,73,61,480,32.1,5.5,12.4,0.8,2.3,3.2,5.0,2.8,4.4,7.2,1.3,0.9,0.7,2.3,1.9,15.0,32,32,1027,6.2,14.0,0.442,0.9,2.6,0.365,3.5,5.6,0.627,3.2,4.9,8.1,1.4,1.0,0.7,2.6,2.1,16.8,4+,"Gee, Alonzo"
0.4456150906,0.3833297634,0.1710551459,0-4,0-4,3 POINT % PER 36 MINUTES,-0.2253510623,0.4,---,STEALS PER 36 MINUTES,-0.1001330353,1.3,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.087874489,1.6,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0607483802,4.4,--,FREE THROWS % PER 36 MINUTES,0.0369684298,0.7090000000000001,+,22,221,494,70,175,100,141,51.0,124.0,175,108,41,18,61,71,612,33.9,6.5,14.5,2.1,5.1,2.9,4.1,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18.0,34,34,1152,6.9,15.4,0.447,2.2,5.5,0.4,3.1,4.4,0.709,1.6,3.9,5.5,3.4,1.3,0.6,1.9,2.2,19.1,8+,"Moore, E'Twaun"
0.5339825736,0.3089388155,0.1570786109,0-4,0-4,OFFENSIVE REBOUND PER 36 MINUTES,0.1192994248,0.6,++,3 POINT % PER 36 MINUTES,0.1082905918,0.37,++,REBOUND PER 36 MINUTES,0.0554429944,3.5,++,STEALS PER 36 MINUTES,0.0404307931,1.5,++,FREE THROWS ATTEMPTED PER 36 MINUTES,0.0360782121,5.9,++,22,215,499,94,254,152,185,19.0,91.0,110,133,47,4,98,58,676,36.5,6.9,16.1,3.0,8.2,4.9,6.0,0.6,2.9,3.5,4.3,1.5,0.1,3.2,1.9,21.8,31,30,1131,6.8,15.9,0.431,3.0,8.1,0.37,4.8,5.9,0.822,0.6,2.9,3.5,4.2,1.5,0.1,3.1,1.8,21.5,4+,"Canaan, Isaiah"
0.420235812,0.3081917835,0.2715724045,0-4,0-4,3 POINT % PER 36 MINUTES,-0.2055773078,0.413,---,FREE THROWS % PER 36 MINUTES,-0.0750323939,0.857,--,STEALS PER 36 MINUTES,-0.0544278847,1.8,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0468353927,8.1,--,REBOUND PER 36 MINUTES,-0.0465124649,3.5,--,21,61,131,26,63,102,119,8.0,44.0,52,64,26,4,30,32,250,31.1,3.6,7.7,1.5,3.7,6.0,7.0,0.5,2.6,3.1,3.8,1.5,0.2,1.8,1.9,14.7,17,17,529,4.2,8.9,0.466,1.8,4.3,0.413,6.9,8.1,0.857,0.5,3.0,3.5,4.4,1.8,0.3,2.0,2.2,17.0,8+,"Dinwiddie, Spencer"
0.4719143593,0.3194703214,0.2086153193,0-4,0-4,FREE THROWS % PER 36 MINUTES,0.1131475163,0.7070000000000001,++,STEALS PER 36 MINUTES,-0.0997625972,1.7,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0571938331,1.6,--,REBOUND PER 36 MINUTES,-0.0457359581,7.1,--,3 POINT % PER 36 MINUTES,0.0358918307,0.304,++,20,254,551,49,161,147,208,54.0,189.0,243,142,57,21,103,73,704,32.5,6.7,14.5,1.3,4.2,3.9,5.5,1.4,5.0,6.4,3.7,1.5,0.6,2.7,1.9,18.5,38,38,1234,7.4,16.1,0.461,1.4,4.7,0.304,4.3,6.1,0.707,1.6,5.5,7.1,4.1,1.7,0.6,3.0,2.1,20.5,0-4,"Culver, Jarrett"
0.5271320914,0.3039368611,0.1689310475,0-4,0-4,FREE THROWS ATTEMPTED PER 36 MINUTES,0.3342109231,1.8,+++,STEALS PER 36 MINUTES,-0.12875955,1.5,--,3 POINT % PER 36 MINUTES,0.0576057462,0.442,++,REBOUND PER 36 MINUTES,0.0443148853,6.4,+,OFFENSIVE REBOUND PER 36 MINUTES,-0.0394538351,1.4,-,22,197,436,92,208,45,57,46.0,158.0,204,124,47,17,74,70,531,36.0,6.2,13.6,2.9,6.5,1.4,1.8,1.4,4.9,6.4,3.9,1.5,0.5,2.3,2.2,16.6,32,32,1153,6.2,13.6,0.452,2.9,6.5,0.442,1.4,1.8,0.789,1.4,4.9,6.4,3.9,1.5,0.5,2.3,2.2,16.6,0-4,"Bane, Desmond"
0.5220506622,0.3248518452,0.1530974926,0-4,0-4,3 POINT % PER 36 MINUTES,0.0872109785,0.239,+++,REBOUND PER 36 MINUTES,-0.0516020862,3.5,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0289181715,0.8,--,FREE THROWS % PER 36 MINUTES,0.0208340982,0.6779999999999999,++,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0178891069,3.6,-,21,219,442,17,71,80,118,26.0,89.0,115,189,28,12,114,61,535,34.5,6.4,13.0,0.5,2.1,2.4,3.5,0.8,2.6,3.4,5.6,0.8,0.4,3.4,1.8,15.7,34,34,1172,6.7,13.6,0.495,0.5,2.2,0.239,2.5,3.6,0.678,0.8,2.7,3.5,5.8,0.9,0.4,3.5,1.9,16.4,0-4,"Johnson, Armon"
0.5547282539,0.2561714707,0.1891002754,0-4,0-4,STEALS PER 36 MINUTES,0.141971825,0.9,+++,FREE THROWS ATTEMPTED PER 36 MINUTES,0.0966908244,2.6,++,3 POINT % PER 36 MINUTES,-0.0874156753,nan,--,REBOUND PER 36 MINUTES,0.0411633451,6.9,++,OFFENSIVE REBOUND PER 36 MINUTES,-0.0355889549,3.3,--,22,68,155,0,0,55,74,94.0,100.0,194,36,24,8,61,121,191,25.3,1.7,3.9,0.0,0.0,1.4,1.9,2.4,2.5,4.9,0.9,0.6,0.2,1.5,3.0,4.8,40,39,1013,2.4,5.5,0.439,0.0,0.0,,2.0,2.6,0.743,3.3,3.6,6.9,1.3,0.9,0.3,2.2,4.3,6.8,8+,"Thomas, Lance"
0.5302579496,0.2781272768,0.1916147736,0-4,0-4,FREE THROWS ATTEMPTED PER 36 MINUTES,0.223646622,2.4,+++,REBOUND PER 36 MINUTES,0.0404262925,10.0,++,FREE THROWS % PER 36 MINUTES,-0.0361241967,0.65,--,3 POINT % PER 36 MINUTES,-0.0174507272,0.281,-,OFFENSIVE REBOUND PER 36 MINUTES,-0.0136491554,2.1,-,22,42,95,9,32,13,20,18.0,66.0,84,16,8,11,18,40,106,11.6,1.6,3.7,0.3,1.2,0.5,0.8,0.7,2.5,3.2,0.6,0.3,0.4,0.7,1.5,4.1,26,26,302,5.0,11.3,0.442,1.1,3.8,0.281,1.5,2.4,0.65,2.1,7.9,10.0,1.9,1.0,1.3,2.1,4.8,12.6,4+,"Bell, Jordan"
0.5127035017,0.2920544504,0.1952420479,0-4,0-4,REBOUND PER 36 MINUTES,0.1695911459,4.7,+++,3 POINT % PER 36 MINUTES,0.0723485301,0.35,++,OFFENSIVE REBOUND PER 36 MINUTES,-0.0401385999,1.3,--,FREE THROWS % PER 36 MINUTES,0.0362498109,0.813,++,STEALS PER 36 MINUTES,0.0262592651,1.3,+,22,260,568,57,163,187,230,44.0,122.0,166,189,45,3,118,72,764,34.0,7.0,15.4,1.5,4.4,5.1,6.2,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9,20.6,37,37,1259,7.4,16.2,0.458,1.6,4.7,0.35,5.3,6.6,0.813,1.3,3.5,4.7,5.4,1.3,0.1,3.4,2.1,21.8,0-4,"Smith, Nolan"
0.5181001845,0.3333311163,0.1485686992,0-4,0-4,STEALS PER 36 MINUTES,0.1842026734,0.7,+++,OFFENSIVE REBOUND PER 36 MINUTES,-0.0762673143,4.5,--,3 POINT % PER 36 MINUTES,-0.0671585887,nan,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0360093222,6.6,--,REBOUND PER 36 MINUTES,0.0241739986,11.7,+,21,125,245,0,0,131,189,131.0,206.0,337,40,21,124,44,76,381,31.4,3.8,7.4,0.0,0.0,4.0,5.7,4.0,6.2,10.2,1.2,0.6,3.8,1.3,2.3,11.5,33,32,1037,4.3,8.5,0.51,0.0,0.0,,4.5,6.6,0.693,4.5,7.2,11.7,1.4,0.7,4.3,1.5,2.6,13.2,4+,"Birch, Khem"
0.5172909877,0.3152739012,0.1674351112,0-4,0-4,OFFENSIVE REBOUND PER 36 MINUTES,0.1124615526,0.5,+++,3 POINT % PER 36 MINUTES,0.1008918599,0.37,+++,FREE THROWS ATTEMPTED PER 36 MINUTES,0.0191743872,3.5,+,REBOUND PER 36 MINUTES,0.0142454852,3.4,+,FREE THROWS % PER 36 MINUTES,-0.0083734112,0.85,-,22,181,433,102,276,108,127,20.0,103.0,123,172,64,2,79,79,572,35.6,4.9,11.7,2.8,7.5,2.9,3.4,0.5,2.8,3.3,4.6,1.7,0.1,2.1,2.1,15.5,37,37,1319,4.9,11.8,0.418,2.8,7.5,0.37,2.9,3.5,0.85,0.5,2.8,3.4,4.7,1.7,0.1,2.2,2.2,15.6,4+,"Allen, Grayson"
0.496023336,0.3497185261,0.154258138,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1169014291,0.478,---,REBOUND PER 36 MINUTES,0.0698214286,4.9,++,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0413636356,4.1,--,FREE THROWS % PER 36 MINUTES,0.0348691872,0.75,++,OFFENSIVE REBOUND PER 36 MINUTES,0.0266175475,0.5,++,19,29,54,11,23,12,16,2.0,17.0,19,13,4,2,15,7,81,27.8,5.8,10.8,2.2,4.6,2.4,3.2,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,5,5,139,7.5,14.0,0.537,2.8,6.0,0.478,3.1,4.1,0.75,0.5,4.4,4.9,3.4,1.0,0.5,3.9,1.8,21.0,0-4,"Garland, Darius"
